Board_Member,Board_Positions,Organizations,Network_Connections,Total_Influence_Score
Mary Johnson,4,Health Foundation of Virginia; Health Foundation of Virginia; Community Health Alliance; Community Health Alliance,9.0,8.5
Robert Davis,2,Health Foundation of Virginia; Community Health Alliance,5.0,4.5
John Smith,2,Health Foundation of Virginia; Health Foundation of Virginia,2.0,3.0
Sarah Wilson,2,Health Foundation of Virginia; Virginia Food Bank Network,2.0,3.0
Michael Brown,2,Health Foundation of Virginia; Virginia Food Bank Network,2.0,3.0
David Miller,2,Community Health Alliance; Community Health Alliance,2.0,3.0
Lisa Anderson,1,Community Health Alliance,0.0,1.0
James Taylor,1,Community Health Alliance,0.0,1.0
Jennifer Lee,1,Virginia Food Bank Network,0.0,1.0
Thomas Anderson,1,Virginia Food Bank Network,0.0,1.0
Patricia Martinez,1,Virginia Food Bank Network,0.0,1.0
